# Sta         Lat(deg)    Long(deg)
IMIP        31.75       253.55 
IMMA        32.65       343.11 
IMMO        26.42       278.58 
IMOL        44.35       11.71 
IMP3        43.87       8.01 
IMPS        34.16       244.85 
IMPZ        -5.49       312.50 
IMTS        41.26       289.94 
INAB        40.30       274.79 
INAG        41.63       274.97 
INAS        39.39       272.89 
INAX        40.28       274.33 
INAY        21.50       255.10 
INBD        38.86       273.48 
INBF        40.74       274.72 
INBL        39.19       273.45 
INBR        41.46       273.81 
INCA        -26.75      290.09 
INCB        39.20       274.04 
INCL        39.54       273.20 
INCR        40.08       273.10 
INCS        39.21       274.08 
IND1        9.86        274.50 
IND2        40.58       280.87 
INDA        38.20       273.03 
INDE        36.80       241.75 
INDI        38.65       241.70 
INDM        41.20       272.80 
INDP        45.49       27.75 
INDY        39.78       273.70 
INE1        41.98       33.76 
INEB        41.98       33.76 
INEG        21.86       257.72 
INEL        41.64       274.03 
INES        38.13       272.45 
INF2        41.13       274.82 
INFC        38.35       274.25 
INFL        40.61       272.68 
INFR        40.28       273.47 
INFW        41.13       274.82 
INFY        41.05       274.92 
INGE        27.92       344.56 
INGG        39.36       274.49 
INGP        42.38       13.32 
INGR        41.83       12.51 
INGS        29.02       277.38 
INGY        41.60       272.75 
INHB        -23.87      35.38 
INHC        39.76       273.48 
INJK        58.46       281.89 
INJN        -25.84      148.57 
INJS        38.41       273.06 
INKH        38.74       242.98 
INLB        39.63       274.99 
INLG        41.66       274.58 
INLN        39.03       272.85 
INLP        41.59       273.31 
INLS        40.74       273.65 
INLW        41.29       272.68 
INMC        40.22       274.57 
INMD        38.83       274.58 
INMH        40.99       274.22 
INMN        -74.82      261.12 
INMO        40.73       273.25 
INMT        39.77       273.96 
INNA        38.28       274.26 
INNC        41.38       274.58 
INND        41.67       273.73 
INNP        39.87       272.59 
INPA        38.57       273.51 
INPD        39.97       274.23 
INPL        39.69       273.61 
INPR        40.79       273.87 
INR1        4.91        284.10 
INRC        41.13       273.78 
INRI        29.94       269.88 
INRL        40.96       272.85 
INRN        40.95       272.86 
INSB        39.87       275.06 
INSF        -17.53      146.03 
INSG        38.68       274.20 
INSI        39.85       273.99 
INSK        64.68       340.47 
INSN        41.67       273.68 
INSU        44.91       27.60 
INSV        39.59       274.33 
INSY        38.96       274.14 
INTA        64.94       344.22 
INTC        38.06       273.37 
INTN        40.28       273.95 
INTP        40.28       273.94 
INUQ        58.45       281.88 
INV1        39.25       240.03 
INV2        39.05       274.74 
INVI        38.63       272.47 
INVK        68.31       226.47 
INVL        -29.78      151.11 
INVP        41.48       272.95 
INVR        57.49       355.78 
INW1        47.71       243.07 
INW2        48.19       242.97 
INWB        40.82       274.20 
INWL        40.46       273.07 
INWN        41.08       273.40 
INWR        41.27       274.11 
INZG        30.36       350.45 
IOAN        39.66       20.85 
IOMN        54.33       355.61 
IOMS        54.09       355.37 
IPA0        -0.94       100.37 
IPAZ        24.15       249.67 
IPOH        4.59        101.13 
IPRO        40.77       14.02 
IPS1        40.92       26.39 
IPS2        -27.61      152.76 
IPSA        40.92       26.38 
IPSR        -27.61      152.76 
IQAC        63.74       291.46 
IQAL        63.76       291.49 
IQLU        63.75       291.45 
IQQE        -20.27      289.87 
IQUI        -3.77       286.73 
IRBE        57.55       21.85 
IRC2        27.67       279.57 
IRC3        27.77       279.40 
IRKJ        52.22       104.32 
IRKM        52.22       104.32 
IRKT        52.22       104.32 
IRMA        45.31       270.37 
IROQ        48.76       279.31 
IRRI        46.57       268.60 
IRSC        -52.86      288.43 
IRVI        33.69       242.18 
IRYL        5.28        307.41 
IRYM        -34.22      142.19 
IRZU        9.97        276.10 
ISAF        66.07       336.88 
ISAK        64.12       340.25 
ISAL        38.56       14.87 
ISBA        33.34       44.44 
ISBS        30.49       47.80 
ISC1        41.90       15.90 
ISCH        40.71       13.92 
ISCO        5.54        272.94 
ISE1        41.60       14.24 
ISER        36.16       44.01 
ISFA        39.84       69.52 
ISGN        34.93       355.45 
ISH1        24.38       124.24 
ISHI        36.21       140.22 
ISIL        39.74       9.11 
ISKU        32.50       45.81 
ISLA        49.10       2.21 
ISLD        47.45       6.59 
ISLK        35.66       241.53 
ISLP        22.14       258.98 
ISM1        6.82        80.96 
ISMD        47.41       298.18 
ISNA        32.01       44.35 
ISOK        -10.17      32.65 
ISPA        -27.13      250.66 
ISPS        43.35       357.45 
ISPT        37.79       30.57 
ISSD        34.60       43.67 
ISSE        46.16       3.61 
ISTA        41.10       29.02 
ISTI        38.96       23.15 
ISTN        40.99       28.83 
ISTR        44.57       28.71 
ITAI        -25.42      305.41 
ITAM        -3.13       301.57 
ITB1        -6.89       107.61 
ITEA        38.43       22.43 
ITFA        43.34       12.93 
ITGT        43.23       12.78 
ITIM        44.35       11.72 
ITLA        19.31       261.78 
ITRA        42.66       14.00 
ITRN        44.05       12.58 
ITSS        -7.28       112.79 
ITTE        42.65       13.68 
ITUX        16.75       266.88 
IUCO        39.17       273.49 
IVA1        48.05       24.63 
IVAN        35.73       244.59 
IVCO        32.83       244.49 
IVH2        -32.88      144.31 
IVKQ        62.42       282.09 
IVRY        49.23       2.03 
IWAC        46.31       235.96 
IXBL        48.88       2.09 
IXLC        39.66       241.81 
IXLT        43.17       5.61 
IXOP        -30.15      30.07 
IXSG        48.90       2.06 
IZAC        22.78       257.39 
IZAD        33.81       42.43 
IZAN        28.31       343.50 
IZBA        30.56       47.67 
IZBD        33.29       44.26 
IZBL        33.94       44.37 
IZMI        38.39       27.08 
IZMT        40.80       29.95 
IZQW        35.76       43.12 
IZRS        45.33       28.84 
IZTL        30.95       46.11 
IZVO        45.54       27.77 
IZZN        40.87       243.16 
J001        45.40       141.75 
J002        44.43       143.22 
J003        44.40       141.76 
J004        43.92       144.68 
J005        43.51       144.45 
J006        43.29       145.51 
J007        43.59       142.48 
J008        43.85       141.51 
J009        43.07       145.13 
J010        42.96       144.43 
J011        43.03       143.46 
J012        42.98       142.40 
J013        43.18       141.03 
J014        42.98       141.73 
J015        42.32       143.33 
J016        42.36       142.36 
J017        42.45       139.86 
J018        42.37       140.94 
J019        42.01       143.16 
J020        42.15       139.52 
J021        42.01       140.11 
J022        41.83       140.75 
J023        41.47       140.04 
J024        41.30       141.21 
J026        40.78       140.27 
J027        40.13       141.79 
J028        39.57       141.94 
J030        39.97       139.78 
J031        39.40       140.05 
J032        38.89       139.81 
J033        38.76       140.32 
J035        38.33       140.37 
J036        38.45       141.44 
J037        38.32       140.95 
J038        37.80       140.91 
J040        37.64       139.79 
J041        37.09       140.90 
J042        36.54       140.61 
J043        36.40       139.73 
J044        36.70       138.91 
J045        36.26       138.87 
J046        36.50       137.85 
J047        35.92       137.94 
J048        35.59       138.58 
J049        38.23       139.51 
J050        37.90       138.99 
J051        37.40       138.57 
J052        36.93       137.49 
J053        37.38       136.89 
J054        36.66       136.65 
J055        36.23       136.17 
J056        35.60       136.11 
J057        35.55       135.23 
J058        36.14       137.35 
J059        35.80       137.25 
J060        35.53       136.90 
J061        35.40       137.47 
J062        35.09       136.16 
J063        35.13       137.04 
J064        34.76       136.50 
J065        34.47       136.85 
J066        34.06       136.20 
J067        34.84       135.50 
J068        34.39       135.85 
J069        34.16       135.22 
J070        33.48       135.76 
J071        34.78       134.55 
J072        35.59       134.33 
J074        35.43       133.06 
J075        35.00       132.21 
J076        34.62       131.61 
J077        34.55       133.53 
J078        34.34       132.58 
J079        34.00       130.91 
J080        34.29       134.02 
J081        33.93       134.63 
J082        33.32       134.12 
J083        33.53       133.58 
J084        33.27       133.24 
J085        32.76       132.97 
J086        33.47       132.28 
J087        33.73       130.48 
J088        33.46       131.69 
J089        33.33       130.97 
J090        32.92       131.88 
J091        33.48       129.85 
J093        32.55       130.65 
J094        32.45       131.63 
J095        32.02       131.47 
J096        32.01       130.19 
J097        31.50       130.47 
J098        31.26       130.30 
J099        31.26       131.09 
J100        26.14       127.77 
J101        45.34       142.17 
J102        45.28       141.04 
J103        45.00       142.54 
J104        44.89       141.74 
J105        44.73       142.27 
J106        44.43       141.33 
J107        44.29       142.63 
J108        44.06       144.03 
J109        44.02       145.19 
J110        44.01       142.15 
J111        44.01       143.33 
J112        42.89       143.93 
J113        43.55       144.99 
J114        43.85       143.79 
J115        43.66       145.13 
J116        43.41       144.77 
J117        43.40       141.43 
J118        43.38       145.12 
J119        43.37       145.80 
J120        43.29       140.60 
J121        43.29       143.56 
J122        43.23       144.33 
J123        43.23       143.30 
J124        43.12       144.13 
J125        43.06       144.84 
J126        43.06       140.50 
J127        42.99       140.54 
J128        42.97       141.29 
J129        42.86       140.88 
J130        42.80       140.60 
J131        42.79       140.23 
J132        42.73       141.86 
J133        42.73       142.30 
J134        42.70       143.10 
J135        42.67       141.08 
J136        42.66       141.60 
J137        42.65       140.83 
J138        42.55       143.46 
J139        42.55       141.36 
J140        42.49       140.35 
J141        42.48       142.06 
J142        42.25       142.57 
J143        42.24       140.25 
J144        42.13       142.94 
J145        42.13       140.00 
J146        42.10       140.57 
J147        42.04       140.81 
J148        41.83       141.14 
J149        41.60       140.32 
J150        41.46       140.88 
J151        41.04       140.64 
J152        40.97       141.37 
J153        40.63       141.20 
J154        40.58       139.93 
J155        40.52       140.58 
J156        40.52       141.51 
J157        40.29       141.08 
J158        40.41       141.71 
J159        40.29       141.29 
J160        40.05       141.46 
J161        39.98       141.23 
J162        39.87       141.95 
J163        39.85       141.16 
J164        39.85       141.80 
J165        39.70       140.96 
J166        39.60       141.17 
J167        39.46       141.96 
J169        39.34       141.53 
J170        39.25       141.80 
J171        39.02       141.74 
J172        38.90       141.57 
J173        38.82       140.99 
J174        38.75       140.80 
J175        38.68       141.45 
J176        38.54       141.15 
J177        38.41       140.85 
J178        38.21       140.64 
J179        38.03       140.84 
J180        37.99       140.44 
J181        40.33       140.58 
J182        40.27       140.26 
J183        40.22       140.79 
J184        40.25       140.05 
J185        40.01       140.40 
J186        39.94       140.13 
J187        39.75       140.60 
J188        39.66       140.23 
J189        39.55       140.39 
J190        39.33       140.56 
J191        39.21       139.91 
J192        39.16       140.16 
J193        39.05       140.63 
J194        39.19       139.55 
J195        38.76       139.96 
J196        38.59       139.83 
